Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
12,1201,2,5,7,5,1,0.08333333333333333,0.4166666666666667,1,1,0,8,3,0.9166666666666666,2,0
16,1744,7,3,13,3,0,0.0,0.1875,0,0,0,4,1,1.0,4,1
21,2209,7,8,13,6,0,0.0,0.38095238095238093,0,0,0,5,1,1.0,4,14
13,1396,6,3,10,2,0,0.0,0.23076923076923078,0,0,0,3,1,1.0,3,10
3,307,2,0,3,0,0,0.0,0.0,0,0,0,2,1,1.0,1,0
18,1918,11,4,14,2,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,4,7
17,1821,4,7,10,5,0,0.0,0.4117647058823529,0,0,0,8,1,1.0,4,14
9,952,3,5,4,3,0,0.0,0.5555555555555556,1,1,1,3,3,1.0,2,0
10,1086,2,3,7,2,0,0.0,0.3,2,1,2,5,5,1.0,2,9
10,980,6,0,10,1,0,0.0,0.0,0,0,0,3,1,1.0,2,13
6,641,2,3,3,3,0,0.0,0.5,0,0,0,4,2,1.0,1,0
3,323,1,1,2,1,0,0.0,0.3333333333333333,0,0,0,3,3,1.0,1,0
8,914,2,2,6,3,0,0.0,0.25,0,0,0,6,2,1.0,1,0
13,1437,2,3,10,4,0,0.0,0.23076923076923078,0,0,0,11,2,1.0,3,0
9,976,2,3,6,3,0,0.0,0.3333333333333333,0,0,0,5,4,1.0,2,0
29,3107,5,10,19,9,0,0.0,0.3448275862068966,4,4,1,6,5,1.0,4,5
17,1840,8,5,12,3,0,0.0,0.29411764705882354,0,0,0,3,1,1.0,4,11
12,1291,7,1,11,1,0,0.0,0.08333333333333333,0,0,0,2,1,1.0,2,15
5,561,2,3,2,3,0,0.0,0.6,0,0,0,3,2,1.0,1,0
6,646,2,3,3,2,0,0.0,0.5,2,0,1,4,2,1.0,1,0
12,1292,6,3,9,2,0,0.0,0.25,0,0,0,3,1,1.0,2,15
12,1358,6,4,8,4,0,0.0,0.3333333333333333,0,0,0,3,1,1.0,2,15
6,643,2,3,3,3,0,0.0,0.5,0,0,0,4,2,1.0,1,0
9,929,3,3,6,3,1,0.1111111111111111,0.3333333333333333,0,0,0,3,2,0.8888888888888888,2,0
10,1092,3,3,7,4,0,0.0,0.3,1,1,0,5,2,1.0,2,0
6,637,1,3,3,1,0,0.0,0.5,0,0,0,6,6,1.0,1,0
22,2322,2,7,15,6,1,0.045454545454545456,0.3181818181818182,0,0,0,12,9,0.9545454545454546,4,8
12,1333,2,3,9,3,0,0.0,0.25,1,1,0,6,6,1.0,2,0
17,1847,7,5,12,4,0,0.0,0.29411764705882354,0,0,0,4,1,1.0,4,11
15,1662,6,5,10,4,0,0.0,0.3333333333333333,0,0,0,4,1,1.0,4,2
18,1966,2,7,11,6,0,0.0,0.3888888888888889,1,0,0,10,8,1.0,4,8
16,1757,4,6,10,4,0,0.0,0.375,1,1,0,5,3,1.0,4,0
