Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,countdi,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,word_dga,ratio_dga,label,type
26,2845,9,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2827,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2826,7,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2849,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2813,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1950,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2800,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2807,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2805,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2791,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2816,9,11,15,9,0,0,0.0,0.4230769230769231,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2823,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2778,8,10,16,8,0,0,0.0,0.38461538461538464,2,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1963,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2822,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2812,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1967,6,7,11,6,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2820,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2826,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2806,8,9,17,9,0,0,0.0,0.34615384615384615,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2830,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2817,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2820,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2792,9,11,15,9,0,0,0.0,0.4230769230769231,3,1,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
18,1961,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2792,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2819,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
18,1998,6,5,13,7,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2847,8,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2823,9,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
18,1943,7,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
26,2825,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2808,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2795,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2813,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2826,8,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2829,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2834,8,10,16,9,0,0,0.0,0.38461538461538464,2,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2818,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2797,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2819,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2809,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2820,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2826,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2812,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1946,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2824,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2814,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2821,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1934,6,7,11,6,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1964,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2793,7,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2826,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2812,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
